model,horizon,mae,rmse,temperature_true,temperature_pred,feels_like_true,feels_like_pred,humidity_true,humidity_pred,wind_speed_true,wind_speed_pred,gust_speed_true,gust_speed_pred,pressure_true,pressure_pred,precipitation_true,precipitation_pred,rain_probability_true,rain_probability_pred,snow_probability_true,snow_probability_pred,uv_index_true,uv_index_pred,dewpoint_true,dewpoint_pred,visibility_true,visibility_pred,cloud_true,cloud_pred,case
h12_ep50_bs64.pth,12,7.983838558197021,16.47377473156198,26.1,26.055351,28.5,29.497839,77.0,81.387436,4.3,15.967796,4.3,14.770782,1010.0,1012.1103,0.01,0.33710837,45.0,31.630566,0.0,0.04993263,0.0,0.4088602,21.7,22.70805,10.0,9.169283,85.0,48.66489,weather_test_1
h12_ep50_bs64.pth,12,7.983838558197021,16.47377473156198,26.0,25.744972,28.3,28.967117,77.0,81.01628,5.8,16.474463,5.7,15.033826,1011.0,1009.6864,0.04,0.28205398,45.0,26.275738,0.0,0.050710734,0.0,0.16418618,21.6,22.374971,10.0,9.164425,58.0,44.619827,weather_test_1
h12_ep50_bs64.pth,12,7.983838558197021,16.47377473156198,25.9,25.463398,28.1,28.454788,77.0,80.415985,6.5,17.049349,6.3,15.329615,1010.0,1006.7855,0.08,0.22731498,45.0,20.864237,0.0,0.053099792,0.0,0.042913944,21.6,22.019995,10.0,9.154938,52.0,40.34705,weather_test_1
h6_ep30_bs64.pth,6,7.800000190734863,16.108988538041423,24.6,27.825577,26.9,30.86771,85.0,76.6226,2.9,12.4860525,2.7,10.371726,1009.0,1013.2514,0.0,0.5599238,0.0,36.69997,0.0,0.052163586,0.0,5.064448,22.0,23.162558,10.0,9.773959,100.0,53.575043,weather_test_1
h6_ep30_bs64.pth,6,7.800000190734863,16.108988538041423,24.6,27.399801,26.9,29.938917,85.0,74.78738,5.0,10.314083,4.7,8.29764,1010.0,1014.1083,0.0,0.57397115,45.0,39.66911,0.0,0.06330986,0.0,5.767607,22.0,22.37666,10.0,9.698701,41.0,54.98241,weather_test_1
h6_ep30_bs64.pth,6,7.800000190734863,16.108988538041423,24.8,28.068808,27.1,30.838545,84.0,76.87997,5.8,10.595577,5.1,8.629728,1010.0,1034.1438,0.0,0.6116006,0.0,46.136425,0.0,0.06180329,6.0,5.7710567,22.0,23.085413,10.0,9.833134,42.0,60.771797,weather_test_1
h6_ep30_bs64.pth,6,7.800000190734863,16.108988538041423,25.3,28.845291,27.6,31.75956,82.0,79.35319,8.3,10.678718,7.0,8.733899,1011.0,1062.6249,0.0,0.63717157,0.0,52.39181,0.0,0.06285591,7.0,5.937592,22.0,23.83429,10.0,10.027506,38.0,66.33082,weather_test_1
h6_ep30_bs64.pth,6,7.800000190734863,16.108988538041423,25.6,26.955427,27.8,29.111393,79.0,73.08609,10.4,8.975771,8.7,6.994369,1011.0,1009.7827,0.0,0.5772387,0.0,37.954865,0.0,0.061425395,7.0,6.205578,21.7,21.721556,10.0,9.6196,38.0,52.968796,weather_test_1
h6_ep30_bs64.pth,6,7.800000190734863,16.108988538041423,25.9,29.437721,28.0,32.420708,76.0,81.076035,12.2,10.658011,10.2,8.71707,1011.0,1085.1393,0.0,0.65317965,0.0,56.489197,0.0,0.06475422,7.0,6.113731,21.4,24.354008,10.0,10.187746,36.0,70.01016,weather_test_1
h6_ep30_bs64.pth,6,7.800000190734863,16.108988538041423,26.3,29.310007,28.4,32.28735,73.0,80.75437,11.5,10.712558,9.5,8.768909,1011.0,1080.4823,0.0,0.6495806,0.0,55.33035,0.0,0.06553331,6.0,6.062169,21.0,24.24826,10.0,10.160356,100.0,68.987,weather_test_1
h6_ep30_bs64.pth,6,7.800000190734863,16.108988538041423,26.5,27.477268,28.6,30.399595,71.0,76.72515,9.7,10.693957,8.1,8.970542,1010.0,1014.95135,0.0,0.6629107,45.0,54.568516,0.0,0.028161034,6.0,5.4513664,20.9,23.141918,10.0,9.599649,100.0,66.287865,weather_test_1
